"fileid"	"votetitle"	"fulltitle"	"policyarea"	"docref"	"dossiercommittee"	"epref"	"legalbasis"	"reporterinfo"	"reporterid"	"date"	"votescount"	"for"	"against"	"abstain"	
"2279"	"A7-0219/2011 - Bas Eickhout - § 132/2"	"Analysis of options to move beyond 20% greenhouse gas emission reductions and assessing the risk of carbon leakage"	"Environment, Public Health and Food Safety"	"INI/2011/2012"	"ENVI/7/03759"	"A7-0219/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=113&key=0"	"113"	"2011-07-05"	"668"	"561"	"103"	"4"	
"2236"	"A7-0202/2011 - Albert Deß - § 25/2"	"CAP towards 2020: meeting the food, natural resources and territorial challenges of the future"	"Agriculture and Rural Development"	"INI/2011/2051"	"AGRI/7/04498"	"A7-0202/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=247&key=0"	"247"	"2011-06-23"	"585"	"438"	"130"	"17"	
"2158"	"A7-0184/2011 - Vicky Ford - Am 6"	"Economic and Monetary Union EMU: requirements for budgetary frameworks of the Member States"	"Economic and Monetary Affairs"	"NLE/2010/0277"	"ECON/7/04127"	"A7-0184/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-06-23"	"667"	"239"	"388"	"40"	
"2460"	"B7-0519/2011 - Résolution"	"Requesting an opinion from the Court of Justice on the compatibility with the Treaties of the Protocol on the EU-Morocco Fisheries Partnership Agreement"	""	"RSP/2011/2826"	""	"B7-0519/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-09-29"	"553"	"221"	"302"	"30"	
"1439"	"B7-0074/2011 - Am 7/1"	"Agreements on trade in bananas"	""	"RSP/2010/2821"	""	"B7-0074/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-03"	"639"	"187"	"362"	"90"	
"1898"	"A7-0193/2011 - Salvador Garriga Polledo - Am 3"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"665"	"168"	"484"	"13"	
"2184"	"A7-0178/2011 - Corien Wortmann-Kool - Am 2 PC (Article 1, point 1 bis)"	"Economic and Monetary Union EMU: strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (amend. Regulation (EC) No 1466/97)"	"Economic and Monetary Affairs"	"COD/2010/0280"	"ECON/7/04121"	"A7-0178/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=372&key=0"	"372"	"2011-06-23"	"662"	"379"	"263"	"20"	
"2137"	"A7-0191/2011 - Barbara Matera - Vote unique"	"Mobilisation of the European Globalisation Adjustment Fund: redundancies in the automotive industry in Belgium"	"Budgets"	"BUD/2011/2074"	"BUDG/7/05844"	"A7-0191/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=314&key=0"	"314"	"2011-06-23"	"657"	"559"	"81"	"17"	
"2428"	"A7-0180/2011 - Sylvie Goulard - Résolution législative"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-09-28"	"656"	"352"	"237"	"67"	
"1545"	"A7-0032/2011 - Edite Estrela - § 5/2"	"Reducing health inequalities in the EU"	"Environment, Public Health and Food Safety"	"INI/2010/2089"	"ENVI/7/02651"	"A7-0032/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=380&key=0"	"380"	"2011-03-08"	"670"	"595"	"68"	"7"	
"1596"	"B7-0156/2011 - Am 35"	"Resolution on Turkey's 2010 progress report"	""	"RSP/2010/2996"	""	"B7-0156/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-03-09"	"669"	"148"	"464"	"57"	
"2590"	"A7-0354/2011 - Francesca Balzani et José Manuel Fernandes - § 7"	"2012 budget: all sections"	"Budgets"	"BUD/2011/2020"	"BUDG/7/05117"	"A7-0354/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=252&key=0"	"252"	"2011-10-26"	"653"	"526"	"105"	"22"	
"2466"	"A7-0330/2011 - Georgios Stavrakakis - Vote unique"	"2009 discharge: European Police College CEPOL"	"Budgetary Control"	"DEC/2010/2181"	"CONT/7/06026"	"A7-0330/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=559&key=0"	"559"	"2011-10-25"	"638"	"519"	"67"	"52"	
"2271"	"A7-0219/2011 - Bas Eickhout - § 70/2"	"Analysis of options to move beyond 20% greenhouse gas emission reductions and assessing the risk of carbon leakage"	"Environment, Public Health and Food Safety"	"INI/2011/2012"	"ENVI/7/03759"	"A7-0219/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=113&key=0"	"113"	"2011-07-05"	"662"	"322"	"333"	"7"	
"2165"	"A7-0180/2011 - Sylvie Goulard - Am 2/4"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"660"	"360"	"243"	"57"	
"1817"	"B7-0291/2011 - Am 14/1"	"Free Trade Agreement with India"	""	"RSP/2011/2620"	""	"B7-0291/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-05-11"	"649"	"293"	"334"	"22"	
"2657"	"A7-0376/2011 - Barbara Matera - Vote unique"	"Mobilisation of the European Globalisation Adjustment Fund: redundancies in specialised construction activities in Ireland"	"Budgets"	"BUD/2011/2253"	"BUDG/7/07355"	"A7-0376/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=314&key=0"	"314"	"2011-11-16"	"621"	"529"	"73"	"19"	
"1525"	"A7-0040/2011 - Pervenche Berès - Résolution législative"	"Guidelines for the employment policies of the Member States in 2011"	"Employment and Social Affairs"	"CNS/2011/0007"	"EMPL/7/05024"	"A7-0040/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=30&key=0"	"30"	"2011-02-17"	"618"	"551"	"59"	"8"	
"1874"	"A7-0172/2011 - Richard Falbr - § 31"	"External dimension of social policy, promoting labour and social standards and the European Corporate Social Responsibility"	"Employment and Social Affairs"	"INI/2010/2205"	"EMPL/7/03809"	"A7-0172/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=397&key=0"	"397"	"2011-06-08"	"666"	"402"	"251"	"13"	
"2758"	"RC-B7-0692/2011 - Am 1"	""	""	""	""	"RC-B7-0692/2011"	""	"&key=0"	""	"2011-12-14"	"695"	"211"	"463"	"21"	
"2678"	"B7-0571/2011 - § 25/2"	"Climate change conference in Durban"	""	"RSP/2011/2646"	""	"B7-0571/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-11-16"	"649"	"544"	"94"	"11"	
"1566"	"A7-0032/2011 - Edite Estrela - Considérant AA/2"	"Reducing health inequalities in the EU"	"Environment, Public Health and Food Safety"	"INI/2010/2089"	"ENVI/7/02651"	"A7-0032/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=380&key=0"	"380"	"2011-03-08"	"659"	"617"	"37"	"5"	
"2760"	"RC-B7-0692/2011 - Résolution"	""	""	""	""	"RC-B7-0692/2011"	""	"&key=0"	""	"2011-12-14"	"700"	"544"	"123"	"33"	
"2389"	"A7-0290/2011 - Vicky Ford - § 47/5"	"Facing the challenge of the safety of offshore oil and gas activities"	"Industry, Research and Energy"	"INI/2011/2072"	"ITRE/7/04889"	"A7-0290/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-09-13"	"660"	"361"	"292"	"7"	
"1801"	"A7-0089/2011 - Sajjad Karim - Vote unique"	"Units of measurement: approximation of the laws of the Member States (repeal. Directive 80/181/EEC). Codification"	"Legal Affairs"	"COD/2010/0260"	"JURI/7/03912"	"A7-0089/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=594&key=0"	"594"	"2011-05-11"	"444"	"428"	"10"	"6"	
"1632"	"A7-0065/2011 - Eva-Britt Svensson - § 2, tiret 1"	"Priorities and outline of a new EU policy framework to fight violence against women"	"Women’s Rights and Gender Equality"	"INI/2010/2209"	"FEMM/7/03824"	"A7-0065/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=457&key=0"	"457"	"2011-04-05"	"659"	"569"	"84"	"6"	
"1648"	"A7-0085/2011 - Sylvie Guillaume - Am 75"	"Asylum: minimum standards on procedures for granting and withdrawing international protection (repeal. Directive 2005/85/EC). Recast"	"Civil Liberties, Justice and Home Affairs"	"COD/2009/0165"	"LIBE/7/01412"	"A7-0085/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=381&key=0"	"381"	"2011-04-06"	"678"	"406"	"258"	"14"	
"2306"	"A7-0253/2011 - Reimer Böge - Résolution législative"	"Multiannual financial framework for the years 2007-2013"	"Budgets"	"APP/2010/0048"	"BUDG/7/04291"	"A7-0253/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=226&key=0"	"226"	"2011-07-06"	"682"	"581"	"27"	"74"	
"1820"	"B7-0291/2011 - Am 9"	"Free Trade Agreement with India"	""	"RSP/2011/2620"	""	"B7-0291/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-05-11"	"664"	"335"	"317"	"12"	
"2660"	"A7-0331/2011 - Chrysoula Paliadeli - Am 1"	"European Heritage Label"	"Culture and Education"	"COD/2010/0044"	"CULT/7/06070"	"A7-0331/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=734&key=0"	"734"	"2011-11-16"	"639"	"59"	"517"	"63"	
"2754"	"RC-B7-0691/2011 - Résolution"	""	""	""	""	"RC-B7-0691/2011"	""	"&key=0"	""	"2011-12-14"	"682"	"134"	"474"	"74"	
"1782"	"A7-0139/2011 - Crescenzio Rivellini - Résolution"	"2009 discharge: EU general budget, Committee of the Regions"	"Budgetary Control"	"DEC/2010/2148"	"CONT/7/03988"	"A7-0139/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-05-10"	"654"	"566"	"78"	"10"	
"1594"	"B7-0156/2011 - Am 38"	"Resolution on Turkey's 2010 progress report"	""	"RSP/2010/2996"	""	"B7-0156/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-03-09"	"665"	"163"	"469"	"33"	
"1616"	"A7-0052/2011 - Elmar Brok et Roberto Gualtieri - Am compromis 37"	"Treaty on the Functioning of the EU (TFEU): stability mechanism for Member States whose currency is the euro (amend. Article 136 TFEU)"	"Constitutional Affairs"	"NLE/2010/0821"	"AFCO/7/04974"	"A7-0052/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=230&key=0"	"230"	"2011-03-23"	"616"	"554"	"24"	"38"	
"2164"	"A7-0180/2011 - Sylvie Goulard - Am 2/3"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"660"	"368"	"235"	"57"	
"1470"	"A7-0287/2010 - Martin Callanan - Am 58/1"	"Reduction of CO2 emissions from light-duty vehicles: emission performance standards for new light commercial vehicles"	"Environment, Public Health and Food Safety"	"COD/2009/0173"	"ENVI/7/01506"	"A7-0287/2010"	""	"http://www.itsyourparliament.eu/api/mep.php?id=592&key=0"	"592"	"2011-02-15"	"666"	"632"	"22"	"12"	
"2218"	"A7-0230/2011 - Francesca Balzani - Am 15"	"2012 budget: mandate for the trilogue"	"Budgets"	"BUD/2011/2019"	"BUDG/7/05097"	"A7-0230/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=520&key=0"	"520"	"2011-06-23"	"624"	"192"	"381"	"51"	
"1687"	"A7-0072/2011 - António Fernando Correia De Campos - Am 5"	"Single Market for Europeans"	"Internal Market and Consumer Protection"	"INI/2010/2278"	"IMCO/7/04604"	"A7-0072/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=525&key=0"	"525"	"2011-04-06"	"657"	"40"	"598"	"19"	
"1670"	"A7-0087/2011 - José Manuel Fernandes - Am 2"	"2012 budget: estimates of revenue and expenditure - section I, Parliament"	"Budgets"	"BUD/2011/2018"	"BUDG/7/05077"	"A7-0087/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=252&key=0"	"252"	"2011-04-06"	"678"	"349"	"318"	"11"	
"2724"	"A7-0386/2011 - Carlo Casini - Am 10/1"	""	"Constitutional Affairs"	""	""	"A7-0386/2011"	""	"&key=0"	""	"2011-12-01"	"628"	"569"	"56"	"3"	
"2321"	"A7-0228/2011 - Pervenche Berès - § 44/2"	"Financial, economic and social crisis: recommendations concerning the measures and initiatives to be taken. Final report"	"The financial, economic and social crisis"	"INI/2010/2242"	"CRIS/7/04317"	"A7-0228/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=30&key=0"	"30"	"2011-07-06"	"675"	"404"	"249"	"22"	
"2174"	"A7-0180/2011 - Sylvie Goulard - Am 7"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"665"	"229"	"399"	"37"	
"1690"	"A7-0072/2011 - António Fernando Correia De Campos - Am 8"	"Single Market for Europeans"	"Internal Market and Consumer Protection"	"INI/2010/2278"	"IMCO/7/04604"	"A7-0072/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=525&key=0"	"525"	"2011-04-06"	"663"	"30"	"624"	"9"	
"1871"	"B7-0344/2011 - Am 2"	"EU-Canada trade relations"	""	"RSP/2011/2623"	""	"B7-0344/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-06-08"	"669"	"349"	"314"	"6"	
"2746"	"A7-0408/2011 - Birgit Sippel - Vote unique"	""	"Civil Liberties, Justice and Home Affairs"	""	""	"A7-0408/2011"	""	"&key=0"	""	"2011-12-13"	"704"	"663"	"24"	"17"	
"2193"	"A7-0178/2011 - Corien Wortmann-Kool - Am 12"	"Economic and Monetary Union EMU: strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (amend. Regulation (EC) No 1466/97)"	"Economic and Monetary Affairs"	"COD/2010/0280"	"ECON/7/04121"	"A7-0178/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=372&key=0"	"372"	"2011-06-23"	"663"	"271"	"384"	"8"	
"1783"	"A7-0140/2011 - Bart Staes - Décision"	"2009 discharge: Eighth, Ninth and Tenth European Development Funds EDF"	"Budgetary Control"	"DEC/2010/2151"	"CONT/7/03688"	"A7-0140/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=131&key=0"	"131"	"2011-05-10"	"652"	"530"	"106"	"16"	
"1809"	"A7-0102/2011 - Sajjad Karim - Vote unique"	"Euro: denominations and technical specifications of euro coins (repeal. Regulation (EC) No 975/98). Codification"	"Legal Affairs"	"NLE/2010/0338"	"JURI/7/04743"	"A7-0102/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=594&key=0"	"594"	"2011-05-11"	"638"	"612"	"16"	"10"	
"1479"	"A7-0148/2010 - Marisa Matias - Résolution législative"	"Medicinal products for human use: prevention of the entry into the legal supply chain of falsified medicinal products (amend. Directive 2001/83/EC)"	"Environment, Public Health and Food Safety"	"COD/2008/0261"	"ENVI/7/00148"	"A7-0148/2010"	""	"http://www.itsyourparliament.eu/api/mep.php?id=387&key=0"	"387"	"2011-02-16"	"588"	"569"	"12"	"7"	
"1806"	"A7-0096/2011 - Sajjad Karim - Vote unique"	"Wheeled agricultural or forestry tractors: operating space, access to driving position and doors and windows (repeal. Directive 80/720/EEC). Codification"	"Legal Affairs"	"COD/2010/0358"	"JURI/7/04883"	"A7-0096/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=594&key=0"	"594"	"2011-05-11"	"626"	"602"	"16"	"8"	
"2766"	"A7-0428/2011 - Krzysztof Lisek - § 10/2"	""	"Foreign Affairs"	""	""	"A7-0428/2011"	""	"&key=0"	""	"2011-12-14"	"689"	"503"	"166"	"20"	
"2638"	"RC-B7-0565/2011 - Résolution"	"Resolution on the case of Rafah Nashed in Syria"	""	"RSP/2011/2876"	""	"RC-B7-0565/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-10-27"	"65"	"63"	"0"	"2"	
"1910"	"A7-0193/2011 - Salvador Garriga Polledo - Am 11 S"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"671"	"134"	"526"	"11"	
"2388"	"A7-0290/2011 - Vicky Ford - § 47/4"	"Facing the challenge of the safety of offshore oil and gas activities"	"Industry, Research and Energy"	"INI/2011/2072"	"ITRE/7/04889"	"A7-0290/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-09-13"	"671"	"367"	"300"	"4"	
"1467"	"RC-B7-0073/2011 - Am 11"	"Waste crisis in Campania, Italy"	""	"RSP/2010/2963"	""	"RC-B7-0073/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-03"	"620"	"226"	"365"	"29"	
"2392"	"A7-0290/2011 - Vicky Ford - § 76/2"	"Facing the challenge of the safety of offshore oil and gas activities"	"Industry, Research and Energy"	"INI/2011/2072"	"ITRE/7/04889"	"A7-0290/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-09-13"	"654"	"591"	"61"	"2"	
"2623"	"A7-0325/2011 - Ingeborg Gräßle et Crescenzio Rivellini - Am 302"	"Financial Regulation and Implementing Rules applicable to the annual budget of the Union (repeal. Regulation (EC, Euratom) No 1605/2002)"	"Budgets"	"COD/2010/0395"	"BUDG/7/04994"	"A7-0325/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-10-26"	"664"	"198"	"456"	"10"	
"1811"	"A7-0151/2011 - Gunnar Hökmark - Am 20/2"	"Radio spectrum policy: first programme"	"Industry, Research and Energy"	"COD/2010/0252"	"ITRE/7/03855"	"A7-0151/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=273&key=0"	"273"	"2011-05-11"	"640"	"470"	"149"	"21"	
"1897"	"A7-0193/2011 - Salvador Garriga Polledo - § 120"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"672"	"617"	"43"	"12"	
"1892"	"A7-0193/2011 - Salvador Garriga Polledo - § 61"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"665"	"621"	"20"	"24"	
"2436"	"A7-0179/2011 - Diogo Feio - Proposition modifiée"	"Economic and Monetary Union EMU: implementation of the excessive deficit procedure (amend. Regulation (EC) No 1467/97)"	"Economic and Monetary Affairs"	"CNS/2010/0276"	"ECON/7/04130"	"A7-0179/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=250&key=0"	"250"	"2011-09-28"	"666"	"361"	"270"	"35"	
"1605"	"A7-0043/2011 - Lívia Járóka - § 98"	"EU strategy on Roma inclusion"	"Civil Liberties, Justice and Home Affairs"	"INI/2010/2276"	"LIBE/7/04584"	"A7-0043/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=609&key=0"	"609"	"2011-03-09"	"662"	"627"	"26"	"9"	
"2240"	"A7-0202/2011 - Albert Deß - Am 26"	"CAP towards 2020: meeting the food, natural resources and territorial challenges of the future"	"Agriculture and Rural Development"	"INI/2011/2051"	"AGRI/7/04498"	"A7-0202/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=247&key=0"	"247"	"2011-06-23"	"563"	"86"	"465"	"12"	
"2324"	"A7-0228/2011 - Pervenche Berès - § 76"	"Financial, economic and social crisis: recommendations concerning the measures and initiatives to be taken. Final report"	"The financial, economic and social crisis"	"INI/2010/2242"	"CRIS/7/04317"	"A7-0228/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=30&key=0"	"30"	"2011-07-06"	"659"	"516"	"121"	"22"	
"1805"	"A7-0092/2011 - Sajjad Karim - Vote unique"	"Wheeled agricultural or forestry tractors: braking devices (repeal. Directive 76/432/EEC). Codification"	"Legal Affairs"	"COD/2010/0349"	"JURI/7/04861"	"A7-0092/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=594&key=0"	"594"	"2011-05-11"	"601"	"578"	"14"	"9"	
"2288"	"A7-0222/2011 - Markus Pieper - Considérant L"	"EC 5th Cohesion Report and Strategy for the post-2013 Cohesion Policy"	"Regional Development"	"INI/2011/2035"	"REGI/7/04862"	"A7-0222/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=396&key=0"	"396"	"2011-07-05"	"664"	"601"	"57"	"6"	
"2160"	"A7-0184/2011 - Vicky Ford - Am 2 PC (Article 6, point d)"	"Economic and Monetary Union EMU: requirements for budgetary frameworks of the Member States"	"Economic and Monetary Affairs"	"NLE/2010/0277"	"ECON/7/04127"	"A7-0184/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-06-23"	"665"	"397"	"216"	"52"	
"1422"	"A7-0366/2010 - Marisa Matias - Résolution"	"European initiative on Alzheimer’s disease and other dementias"	"Environment, Public Health and Food Safety"	"INI/2010/2084"	"ENVI/7/01154"	"A7-0366/2010"	""	"http://www.itsyourparliament.eu/api/mep.php?id=387&key=0"	"387"	"2011-01-19"	"658"	"646"	"6"	"6"	
"1867"	"A7-0156/2011 - Jan Zahradil - Vote unique"	"Imports of textile products: proof of origin and common rules (repeal. Regulation (EC) No 1541/98; amend. Regulation (EEC) No 3030/93)"	"International Trade"	"COD/2010/0272"	"INTA/7/04188"	"A7-0156/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=435&key=0"	"435"	"2011-06-07"	"624"	"580"	"22"	"22"	
"2635"	"B7-0538/2011 - Am 3"	"Resolution on the public health threat of antimicrobial resistance"	""	"RSP/2011/2848"	""	"B7-0538/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-10-27"	"544"	"283"	"250"	"11"	
"2725"	"A7-0386/2011 - Carlo Casini - Am 10/2"	""	"Constitutional Affairs"	""	""	"A7-0386/2011"	""	"&key=0"	""	"2011-12-01"	"617"	"487"	"115"	"15"	
"2670"	"A7-0367/2011 - Debora Serracchiani - Proposition modifiée"	"Establishing a single European railway area (repeal. Directives 91/440/EEC, 95/18/EC and 2001/14/EC). Recast"	"Transport and Tourism"	"COD/2010/0253"	"TRAN/7/03843"	"A7-0367/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=85&key=0"	"85"	"2011-11-16"	"661"	"538"	"82"	"41"	
"2643"	"A7-0055/2011 - Pascal Canfin - Résolution législative"	"Financial markets: short selling and certain aspects of credit default swaps"	"Economic and Monetary Affairs"	"COD/2010/0251"	"ECON/7/03846"	"A7-0055/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=109&key=0"	"109"	"2011-11-15"	"641"	"507"	"25"	"109"	
"1872"	"A7-0159/2011 - Angelika Niebler - Résolution"	"Guaranteeing independent impact assessments"	"Legal Affairs"	"INI/2010/2016"	"JURI/7/01634"	"A7-0159/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=329&key=0"	"329"	"2011-06-08"	"673"	"573"	"22"	"78"	
"1428"	"A7-0005/2011 - Helmut Scholz - Am 1"	"External actions: financing instrument for cooperation with industrialised and other high-income countries and territories (amend. Regulation (EC) No 1934/2006)"	"International Trade"	"COD/2009/0059"	"INTA/7/04863"	"A7-0005/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=455&key=0"	"455"	"2011-02-03"	"632"	"586"	"23"	"23"	
"1737"	"A7-0134/2011 - Jorgo Chatzimarkakis - § 81"	"2009 discharge: EU general budget, Section III, Commission"	"Budgetary Control"	"DEC/2010/2142"	"CONT/7/03660"	"A7-0134/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=140&key=0"	"140"	"2011-05-10"	"653"	"287"	"346"	"20"	
"1629"	"A7-0039/2011 - Giles Chichester - Résolution législative"	"European Network and Information Security Agency ENISA: duration (amend. Regulation (EC) No 460/2004)"	"Industry, Research and Energy"	"COD/2010/0274"	"ITRE/7/04099"	"A7-0039/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=185&key=0"	"185"	"2011-03-24"	"630"	"597"	"22"	"11"	
"2273"	"A7-0219/2011 - Bas Eickhout - § 78/2"	"Analysis of options to move beyond 20% greenhouse gas emission reductions and assessing the risk of carbon leakage"	"Environment, Public Health and Food Safety"	"INI/2011/2012"	"ENVI/7/03759"	"A7-0219/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=113&key=0"	"113"	"2011-07-05"	"663"	"538"	"119"	"6"	
"1796"	"A7-0069/2011 - Vital Moreira - Am 41"	"Emergency autonomous trade preferences for Pakistan"	"International Trade"	"COD/2010/0289"	"INTA/7/04282"	"A7-0069/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=700&key=0"	"700"	"2011-05-10"	"627"	"29"	"542"	"56"	
"2449"	"B7-0522/2011 - § 60/1"	"Resolution on developing a common EU position ahead of the United Nations Conference on Sustainable Development (Rio+20)"	""	"RSP/2011/2733"	""	"B7-0522/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-09-29"	"598"	"585"	"7"	"6"	
"1775"	"A7-0136/2011 - Crescenzio Rivellini - Décision"	"2009 discharge: EU general budget, Economic and Social Committee"	"Budgetary Control"	"DEC/2010/2147"	"CONT/7/03968"	"A7-0136/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-05-10"	"654"	"392"	"257"	"5"	
"2607"	"A7-0354/2011 - Francesca Balzani et José Manuel Fernandes - Am 43"	"2012 budget: all sections"	"Budgets"	"BUD/2011/2020"	"BUDG/7/05117"	"A7-0354/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=252&key=0"	"252"	"2011-10-26"	"659"	"70"	"556"	"33"	
"2302"	"A7-0205/2011 - Filip Kaczmarek - § 22/3"	"Increasing the impact of EU development policy"	"Development"	"INI/2011/2047"	"DEVE/7/05231"	"A7-0205/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=483&key=0"	"483"	"2011-07-05"	"617"	"353"	"257"	"7"	
"1714"	"A7-0104/2011 - Georgios Stavrakakis - Vote unique"	"2009 discharge: European Agency for Safety and Health at Work EU-OSHA"	"Budgetary Control"	"DEC/2010/2171"	"CONT/7/04042"	"A7-0104/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=559&key=0"	"559"	"2011-05-10"	"650"	"539"	"83"	"28"	
