"Vote" "Order" "X" "Date" "Title" "Procedure" "Leg.NonLeg" "Policy.Area" "RCV" "Result" "Yaes" "Nays" "Abstentions" "Period" "ALDE" "EPP_ED" "SOC" "CoalAE" "CoalAS" "CoalES"
"966" 967 34 2 2005-10-13 "Immigrant communities’ integration " "INI" "Non" "Culture & education" "RCV" "+" "541" 58 21 "2005-09-01" 1 1 1 1 1 1
"967" 968 34 1 2005-10-13 "New challenges for the circus" "INI" "Non" "Culture & education" "RCV" "+" "557" 35 17 "2005-09-01" 1 1 1 1 1 1
"968" 969 34 1 2005-10-13 "The urban dimension in the context " "INI" "Non" "Regional development" "RCV" "+" "540" 29 36 "2005-09-01" 1 1 1 1 1 1
"969" 970 35 1 2005-10-25 "EC-Azerbaijan agreement on certain " "CNS *" "Leg" "Transport & tourism" "RCV" "+" "355" 54 10 "2005-09-01" 1 1 1 1 1 1
"970" 971 35 1 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "70" 424 41 "2005-09-01" 0 0 0 1 1 1
"971" 972 35 2 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "82" 434 45 "2005-09-01" 0 0 0 1 1 1
"972" 973 35 3 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "73" 454 48 "2005-09-01" 0 0 0 1 1 1
"973" 974 35 4 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "67" 515 8 "2005-09-01" 0 0 0 1 1 1
"974" 975 35 5 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "52" 501 46 "2005-09-01" 0 0 0 1 1 1
"975" 976 35 6 2005-10-25 "Waste shipments" "COD ***II" "Leg" "Environment & public health" "RCV" "-" "53" 515 52 "2005-09-01" 0 0 0 1 1 1
"976" 977 35 1 2005-10-25 "Rail freight quality requirements" "COD ***I" "Leg" "Culture & education" "RCV" "+" "549" 47 23 "2005-09-01" 1 1 1 1 1 1
"977" 978 35 1 2005-10-25 "Youth in Action" "COD ***I" "Leg" "Culture & education" "RCV" "+" "547" 76 12 "2005-09-01" 1 1 1 1 1 1
"978" 979 35 1 2005-10-25 "Culture 2007" "COD ***I" "Leg" "Culture & education" "RCV" "+" "328" 270 24 "2005-09-01" 0 1 0 0 1 0
"979" 980 35 2 2005-10-25 "Culture 2007" "COD ***I" "Leg" "Culture & education" "RCV" "+" "335" 308 3 "2005-09-01" 0 1 0 0 1 0
"980" 981 35 3 2005-10-25 "Culture 2007" "COD ***I" "Leg" "Culture & education" "RCV" "+" "553" 61 29 "2005-09-01" 1 1 1 1 1 1
"981" 982 35 1 2005-10-25 "MEDIA 2007" "COD ***I" "Leg" "Culture & education" "RCV" "+" "408" 26 32 "2005-09-01" 1 1 1 1 1 1
"982" 983 36 1 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "+" "505" 103 21 "2005-09-01" 1 1 1 1 1 1
"983" 984 36 2 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "259" 362 7 "2005-09-01" 0 0 1 1 0 0
"984" 985 36 3 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "262" 386 6 "2005-09-01" 0 0 1 1 0 0
"985" 986 36 4 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "231" 382 30 "2005-09-01" 0 0 1 1 0 0
"986" 987 36 5 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "279" 336 35 "2005-09-01" 0 0 1 1 0 0
"987" 988 36 6 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "+" "370" 272 10 "2005-09-01" 1 0 1 0 1 0
"988" 989 36 7 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "246" 394 16 "2005-09-01" 0 0 1 1 0 0
"989" 990 36 8 2005-10-26 "Fluorinated greenhouse gases" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "314" 308 29 "2005-09-01" 1 0 1 0 1 0
"990" 991 36 1 2005-10-26 "Emissions from motor vehicle air-co" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "349" 285 14 "2005-09-01" 1 0 1 0 1 0
"991" 992 36 2 2005-10-26 "Emissions from motor vehicle air-co" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "92" 548 15 "2005-09-01" 0 0 0 1 1 1
"992" 993 36 3 2005-10-26 "Emissions from motor vehicle air-co" "COD ***III" "Leg" "Environment & public health" "RCV" "-" "82" 565 6 "2005-09-01" 0 0 0 1 1 1
"993" 994 36 1 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "308" 341 9 "2005-09-01" 0 1 0 0 1 0
"994" 995 36 2 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "354" 287 18 "2005-09-01" 1 1 0 1 0 0
"995" 996 36 3 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "130" 520 12 "2005-09-01" 0 0 0 1 1 1
"996" 997 36 4 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "447" 198 18 "2005-09-01" 1 1 0 1 0 0
"997" 998 36 5 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "284" 367 11 "2005-09-01" 0 1 0 0 1 0
"998" 999 36 6 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "428" 222 7 "2005-09-01" 1 1 0 1 0 0
"999" 1000 36 7 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "89" 551 9 "2005-09-01" 0 0 0 1 1 1
"1000" 1001 36 8 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "555" 34 78 "2005-09-01" 1 1 1 1 1 1
"1001" 1002 36 9 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "119" 522 16 "2005-09-01" 0 0 0 1 1 1
"1002" 1003 36 10 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "97" 545 18 "2005-09-01" 0 0 0 1 1 1
"1003" 1004 36 11 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "96" 545 14 "2005-09-01" 0 0 0 1 1 1
"1004" 1005 36 12 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "-" "106" 536 15 "2005-09-01" 0 0 0 1 1 1
"1005" 1006 36 13 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "556" 98 8 "2005-09-01" 1 1 1 1 1 1
"1006" 1007 36 14 2005-10-26 "Trans-European transport networks a" "COD ***I" "Leg" "Budget" "RCV" "+" "623" 22 11 "2005-09-01" 1 1 1 1 1 1
"1007" 1008 36 1 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "+" "379" 231 18 "2005-09-01" 0 1 0 0 1 0
"1008" 1009 36 2 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "287" 333 24 "2005-09-01" 1 0 1 0 1 0
"1009" 1010 36 3 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "+" "318" 299 24 "2005-09-01" 0 1 0 0 1 0
"1010" 1011 36 4 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "76" 527 36 "2005-09-01" 0 0 0 1 1 1
"1011" 1012 36 5 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "+" "325" 275 25 "2005-09-01" 0 1 0 0 1 0
"1012" 1013 36 6 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "291" 306 41 "2005-09-01" 1 0 1 0 1 0
"1013" 1014 36 7 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "276" 322 37 "2005-09-01" 1 0 1 0 1 0
"1014" 1015 36 8 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "279" 291 63 "2005-09-01" 1 0 1 0 1 0
"1015" 1016 36 9 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "99" 510 21 "2005-09-01" 0 0 0 1 1 1
"1016" 1017 36 10 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "98" 518 20 "2005-09-01" 0 0 0 1 1 1
"1017" 1018 36 11 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "123" 474 42 "2005-09-01" 0 0 0 1 1 1
"1018" 1019 36 12 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "-" "96" 509 33 "2005-09-01" 0 0 0 1 1 1
"1019" 1020 36 13 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "+" "349" 256 33 "2005-09-01" 0 1 0 0 1 0
"1020" 1021 36 14 2005-10-26 "Patents for biotechnological invent" "RSP" "Non" "Industry, research & energy" "RCV" "+" "338" 272 35 "2005-09-01" 0 1 0 0 1 0
"1021" 1022 36 15 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "-" "306" 312 12 "2005-09-01" 1 0 1 0 1 0
"1022" 1023 36 16 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "320" 302 8 "2005-09-01" 0 1 0 0 1 0
"1023" 1024 36 17 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "330" 278 16 "2005-09-01" 1 0 1 0 1 0
"1024" 1025 36 18 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "-" "216" 365 43 "2005-09-01" 0 0 1 1 0 0
"1025" 1026 36 19 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "312" 277 27 "2005-09-01" 1 0 1 0 1 0
"1026" 1027 36 20 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "-" "256" 344 22 "2005-09-01" 1 0 1 0 1 0
"1027" 1028 36 21 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "539" 61 4 "2005-09-01" 1 1 1 1 1 1
"1028" 1029 36 22 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "343" 247 4 "2005-09-01" 1 1 0 1 0 0
"1029" 1030 36 23 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "-" "276" 282 37 "2005-09-01" 1 0 1 0 1 0
"1030" 1031 36 24 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "-" "263" 273 14 "2005-09-01" 0 1 0 0 1 0
"1031" 1032 36 25 2005-10-26 "Patents for biotechnological invent" "INI" "Non" "Industry, research & energy" "RCV" "+" "259" 85 176 "2005-09-01" 1 0 1 0 1 0
"1032" 1033 37 1 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "256" 290 21 "2005-09-01" 0 0 1 1 0 0
"1033" 1034 37 2 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "236" 296 43 "2005-09-01" 0 0 1 1 0 0
"1034" 1035 37 3 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "277" 263 32 "2005-09-01" 0 0 1 1 0 0
"1035" 1036 37 4 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "225" 318 31 "2005-09-01" 1 0 0 0 0 1
"1036" 1037 37 5 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "202" 339 32 "2005-09-01" 0 0 0 1 1 1
"1037" 1038 37 6 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "270" 253 48 "2005-09-01" 0 1 1 0 0 1
"1038" 1039 37 7 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "459" 100 15 "2005-09-01" 1 1 1 1 1 1
"1039" 1040 37 8 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "116" 459 7 "2005-09-01" 0 0 0 1 1 1
"1040" 1041 37 9 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "472" 43 70 "2005-09-01" 1 1 1 1 1 1
"1041" 1042 37 10 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "69" 488 20 "2005-09-01" 0 0 0 1 1 1
"1042" 1043 37 11 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "418" 72 27 "2005-09-01" 1 1 1 1 1 1
"1043" 1044 37 12 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "493" 90 10 "2005-09-01" 1 1 1 1 1 1
"1044" 1045 37 13 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "488" 95 9 "2005-09-01" 1 1 1 1 1 1
"1045" 1046 37 14 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "528" 49 12 "2005-09-01" 1 1 1 1 1 1
"1046" 1047 37 15 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "366" 217 11 "2005-09-01" 1 1 0 1 0 0
"1047" 1048 37 16 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "240" 347 4 "2005-09-01" 0 1 0 0 1 0
"1048" 1049 37 17 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "323" 256 6 "2005-09-01" 1 1 0 1 0 0
"1049" 1050 37 18 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "519" 20 16 "2005-09-01" 1 1 1 1 1 1
"1050" 1051 37 19 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "+" "461" 98 30 "2005-09-01" 1 1 1 1 1 1
"1051" 1052 37 20 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "254" 317 18 "2005-09-01" 1 0 1 0 1 0
"1052" 1053 37 21 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "264" 295 30 "2005-09-01" 0 1 0 0 1 0
"1053" 1054 37 22 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "246" 329 13 "2005-09-01" 0 1 0 0 1 0
"1054" 1055 37 23 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "285" 283 13 "2005-09-01" 0 1 0 0 1 0
"1055" 1056 37 24 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "331" 247 6 "2005-09-01" 0 1 0 0 1 0
"1056" 1057 37 25 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "243" 333 7 "2005-09-01" 0 1 0 0 1 0
"1057" 1058 37 26 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "240" 333 10 "2005-09-01" 0 1 0 0 1 0
"1058" 1059 37 27 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "125" 448 10 "2005-09-01" 0 0 0 1 1 1
"1059" 1060 37 28 2005-10-27 "Draft general budget of the Europea" "BUD" "Bud" "Budget" "RCV" "-" "86" 489 8 "2005-09-01" 0 0 0 1 1 1
"1060" 1061 37 1 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "493" 72 7 "2005-09-01" 1 1 1 1 1 1
"1061" 1062 37 2 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "122" 408 43 "2005-09-01" 0 0 0 1 1 1
"1062" 1063 37 3 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "112" 413 40 "2005-09-01" 0 0 0 1 1 1
"1063" 1064 37 4 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "117" 404 42 "2005-09-01" 0 0 0 1 1 1
"1064" 1065 37 5 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "121" 383 53 "2005-09-01" 0 0 0 1 1 1
"1065" 1066 37 6 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "525" 24 18 "2005-09-01" 1 1 1 1 1 1
"1066" 1067 37 7 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "533" 34 5 "2005-09-01" 1 1 1 1 1 1
"1067" 1068 37 8 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "113" 448 11 "2005-09-01" 0 0 0 1 1 1
"1068" 1069 37 9 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "533" 29 10 "2005-09-01" 1 1 1 1 1 1
"1069" 1070 37 10 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "525" 30 13 "2005-09-01" 1 1 1 1 1 1
"1070" 1071 37 11 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "532" 22 14 "2005-09-01" 1 1 1 1 1 1
"1071" 1072 37 12 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "285" 267 16 "2005-09-01" 0 1 0 0 1 0
"1072" 1073 37 13 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "380" 182 6 "2005-09-01" 1 1 0 1 0 0
"1073" 1074 37 14 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "283" 237 48 "2005-09-01" 0 1 0 0 1 0
"1074" 1075 37 15 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "-" "115" 431 18 "2005-09-01" 0 0 0 1 1 1
"1075" 1076 37 16 2005-10-27 "Draft general budget for 2006 (Sect" "BUD" "Bud" "Budget" "RCV" "+" "462" 74 34 "2005-09-01" 1 1 1 1 1 1
"1076" 1077 37 1 2005-10-27 "Draft general budget for 2006 – oth" "BUD" "Bud" "Budget" "RCV" "-" "155" 329 51 "2005-09-01" 0 0 0 1 1 1
"1077" 1078 37 2 2005-10-27 "Draft general budget for 2006 – oth" "BUD" "Bud" "Budget" "RCV" "-" "100" 433 9 "2005-09-01" 0 0 0 1 1 1
"1078" 1079 37 1 2005-10-27 "Activities of the European Ombudsma" "INI" "Non" "Petitions" "RCV" "+" "426" 3 9 "2005-09-01" 1 1 1 1 1 1
"1079" 1080 37 1 2005-10-27 "Human rights in Western Sahara" "RSP" "Non" "Foreign & security policy" "RCV" "+" "68" 29 1 "2005-09-01" 1 1 0 1 0 0
"1080" 1081 37 2 2005-10-27 "Human rights in Western Sahara" "RSP" "Non" "Foreign & security policy" "RCV" "+" "98" 0 1 "2005-09-01" 1 1 1 1 1 1
"1081" 1082 37 1 2005-10-27 "Uzbekistan" "RSP" "Non" "Foreign & security policy" "RCV" "+" "99" 0 0 "2005-09-01" 1 1 1 1 1 1
"1082" 1083 37 1 2005-10-27 "Case of Tenzin Delek Rinpoche" "RSP" "Non" "Foreign & security policy" "RCV" "+" "95" 3 0 "2005-09-01" 1 1 1 1 1 1
"1083" 1084 38 1 2005-11-15 "Common organisation of the market i" "CNS *" "Leg" "Agriculture" "RCV" "+" "600" 20 14 "2005-09-01" 1 1 1 1 1 1
"1084" 1085 38 1 2005-11-15 "Social dimension of globalisation" "INI" "Non" "Employment & social affairs" "RCV" "+" "323" 264 56 "2005-09-01" 1 0 1 0 1 0
"1085" 1086 38 2 2005-11-15 "Social dimension of globalisation" "INI" "Non" "Employment & social affairs" "RCV" "-" "112" 483 47 "2005-09-01" 0 0 0 1 1 1
"1086" 1087 38 3 2005-11-15 "Social dimension of globalisation" "INI" "Non" "Employment & social affairs" "RCV" "+" "357" 266 17 "2005-09-01" 1 1 0 1 0 0
"1087" 1088 38 1 2005-11-15 "Information to air passengers" "COD ***I" "Leg" "Transport & tourism" "RCV" "+" "577" 16 31 "2005-09-01" 1 1 1 1 1 1
"1088" 1089 39 1 2005-11-16 "Bohunice V1" "CNS *" "Leg" "Industry, research & energy" "RCV" "+" "441" 184 22 "2005-09-01" 0 1 1 0 0 1
"1089" 1090 39 2 2005-11-16 "Bohunice V1" "CNS *" "Leg" "Industry, research & energy" "RCV" "+" "436" 190 25 "2005-09-01" 0 1 1 0 0 1
"1090" 1091 39 1 2005-11-16 "Northern Dimension" "RSP" "Non" "Foreign & security policy" "RCV" "+" "634" 17 18 "2005-09-01" 1 1 1 1 1 1
"1091" 1092 39 1 2005-11-16 "Beating global climate change" "INI" "Non" "Environment & public health" "RCV" "+" "450" 66 143 "2005-09-01" 1 1 1 1 1 1
"1092" 1093 40 1 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "566" 10 12 "2005-09-01" 1 1 1 1 1 1
"1093" 1094 40 2 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "579" 12 2 "2005-09-01" 1 1 1 1 1 1
"1094" 1095 40 3 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "138" 453 2 "2005-09-01" 1 0 0 0 0 1
"1095" 1096 40 4 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "244" 351 3 "2005-09-01" 0 0 1 1 0 0
"1096" 1097 40 5 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "367" 226 6 "2005-09-01" 0 1 0 0 1 0
"1097" 1098 40 6 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "327" 267 5 "2005-09-01" 0 0 1 1 0 0
"1098" 1099 40 7 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "264" 291 24 "2005-09-01" 0 1 0 0 1 0
"1099" 1100 40 8 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "263" 318 18 "2005-09-01" 0 1 0 0 1 0
"1100" 1101 40 9 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "314" 264 16 "2005-09-01" 1 1 0 1 0 0
"1101" 1102 40 10 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "143" 431 17 "2005-09-01" 0 0 0 1 1 1
"1102" 1103 40 11 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "291" 290 16 "2005-09-01" 1 0 1 0 1 0
"1103" 1104 40 12 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "375" 155 52 "2005-09-01" 1 1 1 1 1 1
"1104" 1105 40 13 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "438" 144 15 "2005-09-01" 1 1 1 1 1 1
"1105" 1106 40 14 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "241" 317 45 "2005-09-01" 0 1 0 0 1 0
"1106" 1107 40 15 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "324" 263 13 "2005-09-01" 1 0 1 0 1 0
"1107" 1108 40 16 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "314" 276 8 "2005-09-01" 1 0 1 0 1 0
"1108" 1109 40 17 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "327" 263 15 "2005-09-01" 1 0 1 0 1 0
"1109" 1110 40 18 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "340" 258 6 "2005-09-01" 1 0 1 0 1 0
"1110" 1111 40 19 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "405" 141 55 "2005-09-01" 1 1 1 1 1 1
"1111" 1112 40 20 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "403" 137 55 "2005-09-01" 1 1 1 1 1 1
"1112" 1113 40 21 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "447" 102 53 "2005-09-01" 1 1 1 1 1 1
"1113" 1114 40 22 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "415" 132 53 "2005-09-01" 1 1 1 1 1 1
"1114" 1115 40 23 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "324" 260 20 "2005-09-01" 1 0 1 0 1 0
"1115" 1116 40 24 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "570" 30 4 "2005-09-01" 1 1 1 1 1 1
"1116" 1117 40 25 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "556" 37 7 "2005-09-01" 1 1 1 1 1 1
"1117" 1118 40 26 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "323" 264 17 "2005-09-01" 1 0 1 0 1 0
"1118" 1119 40 27 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "266" 318 21 "2005-09-01" 0 0 1 1 0 0
"1119" 1120 40 28 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "344" 245 17 "2005-09-01" 1 0 1 0 1 0
"1120" 1121 40 29 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "351" 229 18 "2005-09-01" 1 0 1 0 1 0
"1121" 1122 40 30 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "221" 353 28 "2005-09-01" 1 0 1 0 1 0
"1122" 1123 40 31 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "348" 242 13 "2005-09-01" 1 1 0 1 0 0
"1123" 1124 40 32 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "476" 121 3 "2005-09-01" 0 1 1 0 0 1
"1124" 1125 40 33 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "236" 366 7 "2005-09-01" 0 0 1 1 0 0
"1125" 1126 40 34 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "-" "51" 549 7 "2005-09-01" 0 0 0 1 1 1
"1126" 1127 40 35 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "367" 228 12 "2005-09-01" 1 1 0 1 0 0
"1127" 1128 40 36 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "292" 290 27 "2005-09-01" 1 0 1 0 1 0
"1128" 1129 40 37 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "317" 267 15 "2005-09-01" 1 0 1 0 1 0
"1129" 1130 40 38 2005-11-17 "REACH" "COD ***I" "Leg" "Environment & public health" "RCV" "+" "267" 327 9 "2005-09-01" 0 1 0 0 1 0
